id,school_name,nickname,ap_ranking,owned_id,division_name,conference_name,school_abbrev,conference_abbrev,fpi_rk,proj_wins,proj_losses,win_div_perc,win_con_perc,cbs_rank
92,Wyoming,Cowboys,0,,Mountain,Mountain West Conference,,MWC,99,5.5,6.5,4.7,1.7,94
23,Southern Miss,Golden Eagles,0,,West,Sun Belt Conference,,Sun Belt,100,5.6,6.5,10.7,2.6,108
33,Duke,Blue Devils,0,,Coastal,Atlantic Coast Conference,,ACC,101,3.8,8.2,0,0,109
86,Western Michigan,Broncos,0,,West,Mid-American Conference,WMU,MAC,102,6,6.2,14.5,7.6,93
14,Georgia Southern,Eagles,0,,East,Sun Belt Conference,,Sun Belt,103,5.3,6.7,2.6,0.9,119
5,Navy,Midshipmen,0,,,American Athletic Conference,,AAC,104,3.7,8.3,0,0,103
94,Hawaii,Rainbow Warriors,0,,West,Mountain West Conference,,MWC,105,6.6,6.4,6.7,1.1,123
56,Kansas,Jayhawks,0,,,Big 12 Conference,,Big 12,106,2.6,9.4,0,0,102
97,San Jose State,Spartans,0,,West,Mountain West Conference,SJSU,MWC,107,5.9,6.1,6.4,1.2,97
115,Vanderbilt,Commodores,0,,East,Southeastern Conference,,SEC,108,2.5,9.5,0,0,113
84,Northern Illinois,Huskies,0,,West,Mid-American Conference,NIU,MAC,109,5.9,6.2,8.7,3.8,70
22,South Alabama,Jaguars,0,,West,Sun Belt Conference,USA,Sun Belt,110,5.4,6.6,6.6,1.4,92
24,Texas State,Bobcats,0,,West,Sun Belt Conference,,Sun Belt,111,5.7,6.4,6,1.2,122
18,Old Dominion,Monarchs,0,,East,Sun Belt Conference,ODU,Sun Belt,112,4.2,7.8,1.5,0.5,105
19,Arkansas State,Red Wolves,0,,West,Sun Belt Conference,,Sun Belt,113,5.6,6.4,6.6,1.3,99
89,Colorado State,Rams,0,,Mountain,Mountain West Conference,CSU,MWC,114,4.7,7.3,1.8,0.6,87
78,Kent State,Golden Flashes,0,,East,Mid-American Conference,,MAC,115,5.3,6.9,15,5.2,83
83,Eastern Michigan,Eagles,0,,West,Mid-American Conference,EMU,MAC,116,5.7,6.4,5.8,2.6,100
98,UNLV,Rebels,0,,West,Mountain West Conference,UNLV,MWC,117,4.4,7.6,2.6,0.4,116
81,Ball State,Cardinals,0,,West,Mid-American Conference,,MAC,118,5.4,6.7,3,1.3,115
72,UTEP,Miners,0,,,Conference USA,UTEP,C-USA,119,4.5,7.5,1.8,0.4,85
16,James Madison,Dukes,0,,East,Sun Belt Conference,JMU,Sun Belt,120,3.6,7.4,0,0,118
8,Temple,Owls,0,,,American Athletic Conference,,AAC,121,3.5,8.5,0,0,124
80,Ohio,Bobcats,0,,East,Mid-American Conference,,MAC,122,4.6,7.5,5.6,1.3,114
70,Rice,Owls,0,,,Conference USA,,C-USA,123,3.1,8.9,0.4,0,120
65,Florida International,Panthers,0,,,Conference USA,FIU,C-USA,124,4.3,7.7,0.6,0.1,130
76,Bowling Green,Falcons,0,,East,Mid-American Conference,,MAC,125,3.4,8.7,2.2,0.4,111
75,Akron,Zips,0,,East,Mid-American Conference,,MAC,126,3.6,8.4,2.3,0.4,125
90,New Mexico,Lobos,0,,Mountain,Mountain West Conference,,MWC,127,3.1,8.9,0.1,0,127
21,UL Monroe,Warhawks,0,,West,Sun Belt Conference,ULM,Sun Belt,128,2.5,9.5,0.3,0,126
129,UMass,Minutemen,0,,,FBS Independents,,Independent,129,3.2,8.8,0,0,131
128,UConn,Huskies,0,,,FBS Independents,,Independent,130,2.6,9.4,0,0,128
126,New Mexico State,Aggies,0,,,FBS Independents,NMSU,Independent,131,3.2,8.8,0,0,129
